image,path,set,width,height,x_com_norm,y_com_norm,dx,dy,d,lr_imbalance,tb_imbalance,q_tl,q_tr,q_bl,q_br,sym_lr,sym_tb,sym_rot180,sym_lr_diff,sym_tb_diff,sym_rot180_diff,neg_space_pct,neg_largest_region_pct,neg_largest_centroid_x_norm,neg_largest_centroid_y_norm,neg_method,neg_rule,qt_total_leaves,qt_blank_leaves,qt_blank_leaf_ratio,qt_largest_blank_leaf_area_pct,qt_largest_blank_leaf_depth,qt_largest_blank_rect_w_norm,qt_largest_blank_rect_h_norm,qt_largest_blank_rect_aspect,qt_largest_blank_rect_cx_norm,qt_largest_blank_rect_cy_norm,qt_blank_leaf_depth_mean,qt_blank_leaf_depth_std,qt_blank_leaf_depth_wmean,qt_blank_depth_entropy,qt_blank_depth_entropy_norm,qt_blank_depth_max,qt_max_depth,qt_min_size,qt_mask_method,qt_rule,qt_thr,qt_blank_percentile,rot_thirds_luma_mean,rot_intersections_luma_mean,rot_band_frac,rot_patch_frac,rot_thirds_sat_mean,rot_intersections_sat_mean,lines_edge_pct,lines_static_energy,lines_dynamic_energy,lines_dynamic_to_static,lines_edge_percentile,lines_angle_band_deg,detail_edge_density,detail_edge_percentile
Blue_eye.webp,data\real\images\Blue_eye.webp,real,500,642,0.49529444470647455,0.49248477521244277,-0.004705555293525454,-0.007515224787557229,0.008866840149001222,-0.011528018771007861,-0.010276355200320374,0.25555913192697444,0.24957902574541038,0.25020489738630486,0.24465686523020885,0.9710338429308882,0.8655202359296316,0.8624440083952417,0.017688339576125145,0.08212079107761383,0.08399930596351624,0.25013707165109034,0.11582242990654205,0.5075832593668469,0.4627845719692866,low_gradient,blank = grad_mag <= P25.0 (thr=0.001943),3949,213,0.05393770574829071,0.0010467289719626168,5.0,0.032,0.03271028037383177,0.7619047615419501,0.984,0.9836448598130841,5.802816867828369,0.3978717625141144,5.514959335327148,0.9993542263663544,0.9993542263656334,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001943),0.0019427239894866943,25.0,0.5308712720870972,0.401465505361557,0.03,0.06,0.6238144636154175,0.9139105677604675,0.2,1164.8741455078125,206.60873413085938,0.17736571364884848,80.0,15.0,0.2,80.0
Blue_Nip.webp,data\real\images\Blue_Nip.webp,real,500,645,0.5665951583316741,0.4943798420903434,0.06659515833167406,-0.005620157909656587,0.06683188825815273,0.3369505280951908,-0.010862723326878938,0.1995322736174052,0.3058990880460343,0.13199241873796885,0.36257614330378823,0.3229281399389753,0.7364439153425439,0.3089729542141242,0.3762167990207672,0.1464456468820572,0.38397103548049927,0.2570046511627907,0.08764031007751938,0.4918114208887631,0.3620805604741123,low_gradient,blank = grad_mag <= P25.0 (thr=0.000283),3871,157,0.04055799535003875,0.001041860465116279,5.0,0.032,0.03255813953488372,0.7619047615419501,0.984,0.9837209302325581,5.770700454711914,0.42038214206695557,5.461710453033447,0.9957656278026978,0.9957656278019795,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000283),0.00028312206268310547,25.0,0.5053490996360779,0.4541756510734558,0.03,0.06,0.543775200843811,0.6213197112083435,0.2036,1349.47119140625,98.61597442626953,0.07307749513553789,80.0,15.0,0.2036,80.0
Boob_Wheel.webp,data\real\images\Boob_Wheel.webp,real,799,742,0.47271695557016735,0.4935631388613795,-0.027283044429832648,-0.00643686113862052,0.02803208330963122,-0.084044162672358,-0.007111075421876865,0.2772109230772846,0.22634467540618944,0.26481121903143,0.23163324325763154,0.7191843197038678,0.8723420765495938,0.6975737851207855,0.18267309665679932,0.08304261416196823,0.19673094153404236,0.49473735700623084,0.31809978106055753,0.31973322035707935,0.34191692245226935,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),5842,744,0.12735364601163984,0.015686724308350396,3.0,0.1251564455569462,0.12533692722371967,1.0752688170886808,0.9374217772215269,0.9373315363881402,6.338709831237793,0.9365955591201782,4.151049613952637,2.047014079557747,0.8816009781115957,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.4819488823413849,0.26586011052131653,0.03,0.06,0.4288140833377838,0.682533860206604,0.2000006746978197,2161.5986328125,1544.19580078125,0.7143767475301007,80.0,15.0,0.2000006746978197,80.0
Book_of_Birth_1.webp,data\real\images\Book_of_Birth_1.webp,real,750,655,0.49072626482869935,0.4722560423015593,-0.009273735171300646,-0.02774395769844068,0.029252852045574707,-0.02871761341575671,-0.08249128577847772,0.27543183930059373,0.2658138035886451,0.2389269674072846,0.21982737607046413,0.898654410219364,0.767487562436059,0.7523141034848397,0.059111300855875015,0.13561628758907318,0.14446642994880676,0.2526819338422392,0.10268091603053435,0.5826836630849953,0.29022546036548363,low_gradient,blank = grad_mag <= P25.0 (thr=0.000985),14479,483,0.033358657365840184,0.0010259541984732824,5.0,0.032,0.03206106870229008,1.1428571423129252,0.984,0.983969465648855,6.5714287757873535,0.6964651346206665,5.64400577545166,1.4184244263911951,0.8949261738024611,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000985),0.000985473394393921,25.0,0.4614027738571167,0.31442660093307495,0.03,0.06,0.24528497457504272,0.2511714696884155,0.2,1226.716796875,642.4305419921875,0.5236991485104878,80.0,15.0,0.2,80.0
Book_of_Birth_2.webp,data\real\images\Book_of_Birth_2.webp,real,750,655,0.48893070789489773,0.5156672385353119,-0.011069292105102269,0.015667238535311934,0.0191831069180788,-0.03311752296316665,0.04936574669607258,0.24522550234575552,0.23009163902015034,0.27133333270553844,0.25334957007038206,0.8860369171055905,0.780286693318291,0.7480587485397058,0.061587508767843246,0.11873665452003479,0.13615316152572632,0.2505058524173028,0.10956132315521629,0.5995502706452133,0.2870051719819445,low_gradient,blank = grad_mag <= P25.0 (thr=0.001678),14539,547,0.03762294518192448,0.0010259541984732824,5.0,0.032,0.03206106870229008,1.1428571423129252,0.984,0.983969465648855,6.652650833129883,0.6623923182487488,5.6989288330078125,1.4161438438341267,0.893487286411731,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001678),0.0016776323318481445,25.0,0.5723146796226501,0.6282421350479126,0.03,0.06,0.1781102567911148,0.12990149855613708,0.20001221374045802,2226.91259765625,956.316162109375,0.42943587597985255,80.0,15.0,0.20001221374045802,80.0
cascade.webp,data\real\images\cascade.webp,real,799,732,0.50722903764867,0.5066418200839391,0.00722903764867,0.006641820083939098,0.009816962837522869,0.03093231060131768,0.04773448000760125,0.2305989323783171,0.24553382761788228,0.25393489325689583,0.269932365811033,0.8994181423685849,0.7259296411537786,0.7052754501356384,0.07047496736049652,0.19203363358974457,0.20650546252727509,0.40595142835648385,0.3763635555373178,0.4926092890937293,0.5207610392391397,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),6853,502,0.07325259010652269,0.0157300450699987,3.0,0.1251564455569462,0.12568306010928962,1.086956521620983,0.9374217772215269,0.9371584699453552,6.252987861633301,1.0028550624847412,4.084120750427246,1.9858729986375006,0.8552689478239804,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.5979335308074951,0.6314274668693542,0.03,0.06,0.2421761155128479,0.2766660451889038,0.20000239370251066,2415.18701171875,1327.20703125,0.5495255749574471,80.0,15.0,0.20000239370251066,80.0
Colostrum_well.webp,data\real\images\Colostrum_well.webp,real,750,749,0.5068210346999795,0.5018976667282198,0.006821034699979522,0.0018976667282197823,0.007080088515669638,0.014358666379606652,0.033123375968902094,0.22972531795773102,0.25371296920843994,0.2630952991537097,0.2534663391319854,0.8460813061711265,0.747570531591576,0.7260137789376946,0.08614355325698853,0.1412770003080368,0.1533416509628296,0.25008099688473523,0.1091677792612372,0.4887996738687322,0.3449626707059338,low_gradient,blank = grad_mag <= P25.0 (thr=0.001678),14710,554,0.037661454792658054,0.0038486871384067647,4.0,0.06266666666666666,0.06141522029372497,1.0217391302126655,0.9686666666666667,0.030707610146862484,6.574007034301758,0.620739221572876,5.7954182624816895,1.725423539007076,0.8627117695033825,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001678),0.0016776472330093384,25.0,0.5564526915550232,0.6510003805160522,0.03,0.06,0.27573341131210327,0.32505571842193604,0.20034178905206942,2184.025146484375,749.97021484375,0.3433890017464053,80.0,15.0,0.20034178905206942,80.0
Deep_Breath.webp,data\real\images\Deep_Breath.webp,real,500,649,0.49902366843103924,0.49375898211826896,-0.0009763315689607643,-0.006241017881731037,0.006316923897961408,-0.00020239982199538834,-0.009085729757715816,0.24811980297808056,0.2564230910398246,0.25198142607196433,0.2434757673272722,0.9476871960030946,0.9152491167413138,0.9241044999661159,0.021611155942082405,0.03501178324222565,0.03135349974036217,0.2502280431432974,0.009959938366718027,0.018258044554455444,0.4756065119223787,low_gradient,blank = grad_mag <= P25.0 (thr=0.000852),4078,78,0.019127023050514957,0.0009707241910631741,5.0,0.03,0.032357473035439135,0.7142857139455782,0.015,0.4830508474576271,5.935897350311279,0.24493558704853058,5.787815093994141,0.7456383425557989,0.745638342555261,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000852),0.000851757824420929,25.0,0.3270939588546753,0.24486428499221802,0.03,0.06,0.3561854958534241,0.35954076051712036,0.20012942989214175,1259.1014404296875,324.42962646484375,0.25766758423495295,80.0,15.0,0.20012942989214175,80.0
Deep_Tear.webp,data\real\images\Deep_Tear.webp,real,500,652,0.5159044268301031,0.5082421314398398,0.01590442683010307,0.008242131439839762,0.017913222029152024,0.04543869127442406,0.047210263784821516,0.22066814007049232,0.25572672803709695,0.25661249158448557,0.26699266301573527,0.8106597585326285,0.7794886418967534,0.7559222805361803,0.09991026669740677,0.11635851114988327,0.12879391014575958,0.2508159509202454,0.026349693251533742,0.3963965075669383,0.4271283129905655,low_gradient,blank = grad_mag <= P25.0 (thr=0.001961),3997,272,0.06805103827870904,0.001030674846625767,5.0,0.032,0.032208588957055216,0.7619047615419501,0.42,0.4210122699386503,5.944852828979492,0.22826708853244781,5.811938762664795,0.6973985365288519,0.6973985365283487,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001961),0.00196075439453125,25.0,0.4074617028236389,0.25702977180480957,0.03,0.06,0.14802761375904083,0.18734431266784668,0.20000306748466257,1631.48779296875,568.0933837890625,0.3482057213262042,80.0,15.0,0.20000306748466257,80.0
Descent_into_chaos.webp,data\real\images\Descent_into_chaos.webp,real,750,585,0.518695199907091,0.49616266861875047,0.01869519990709101,-0.0038373313812495313,0.01908495773366077,0.07793903789268422,-0.009077167991450873,0.23087391689939904,0.27366472218090876,0.23015666055227801,0.2653047829942877,0.7663204043897468,0.8911778920741011,0.7623487601224332,0.1510753631591797,0.07035419344902039,0.15364305675029755,0.25256068376068375,0.15091054131054132,0.5051689723917115,0.4660712727467998,low_gradient,blank = grad_mag <= P25.0 (thr=0.001961),12271,664,0.05411131937087442,0.0010393162393162393,5.0,0.032,0.03247863247863248,1.263157894072022,0.984,0.9837606837606837,6.5015058517456055,0.7800201773643494,5.4534454345703125,1.1693474101506363,0.7377760733255391,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001961),0.00196075439453125,25.0,0.5773067474365234,0.4927747845649719,0.03,0.06,0.14859727025032043,0.18748776614665985,0.2,2050.59716796875,1612.8857421875,0.7865444112445074,80.0,15.0,0.2,80.0
Eclipse.webp,data\real\images\Eclipse.webp,real,1100,1102,0.4987659423735961,0.511077010742817,-0.0012340576264038838,0.011077010742816973,0.011145540149394654,-0.004843899101748824,0.058151515172184705,0.23949592567481384,0.2314283167390938,0.2629260025605854,0.26614973371003176,0.9435355731921531,0.8425584752130175,0.8382832638930544,0.03414488583803177,0.09520725160837173,0.09779253602027893,0.3735852169608975,0.28332535885167465,0.4771086209675861,0.4463994943925415,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),12040,547,0.04543189368770764,0.003927569707968982,4.0,0.06272727272727273,0.06261343012704174,0.9999999998550726,0.9686363636363636,0.9686932849364791,6.382083892822266,0.9514200091362,4.628543376922607,1.5045161075817206,0.7522580537907246,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.5239720344543457,0.43181514739990234,0.03,0.06,0.33897945284843445,0.467972069978714,0.2,3889.054443359375,1620.8828125,0.41678069466564466,80.0,15.0,0.2,80.0
Eight_Centimeters_Dilated.webp,data\real\images\Eight_Centimeters_Dilated.webp,real,750,658,0.49709035462805784,0.5256823191056691,-0.00290964537194216,0.025682319105669094,0.025846615848808527,-0.004139867272072637,0.08798787039903837,0.22797893571087335,0.22802712908960746,0.27409099792516295,0.26990297229861404,0.9547101263998672,0.6883158786563337,0.687283764761379,0.020470811054110527,0.1408797651529312,0.141346275806427,0.2500020263424519,0.09101317122593719,0.4892338862295447,0.42749184799251,low_gradient,blank = grad_mag <= P25.0 (thr=0.001387),14929,535,0.03583629178109719,0.0010212765957446808,5.0,0.032,0.031914893617021274,1.1428571423129252,0.984,0.9840425531914894,6.60934591293335,0.5318865776062012,6.126761436462402,1.3811359555754628,0.8713997680996417,7.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.001387),0.0013868696987628937,25.0,0.3779289424419403,0.2967182397842407,0.03,0.06,0.4199819564819336,0.5296365022659302,0.20011347517730496,1634.07666015625,479.7122802734375,0.29356779395198745,80.0,15.0,0.20011347517730496,80.0
Empty_Belly.webp,data\real\images\Empty_Belly.webp,real,500,650,0.48944010100971375,0.5105082620271917,-0.010559898990286254,0.010508262027191684,0.01489748426806242,-0.026460736105633126,0.05313746338702186,0.2419022793395968,0.23152892328946198,0.27132804492826623,0.2552406648727679,0.8982788683295791,0.8140521060497594,0.7990081643255436,0.055846117436885834,0.10208761692047119,0.11034692078828812,0.2815076923076923,0.13354461538461537,0.48685106677111656,0.4987721232272175,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),3532,237,0.06710079275198189,0.0038153846153846155,4.0,0.062,0.06153846153846154,0.77499999980625,0.031,0.03076923076923077,5.729957580566406,0.45338529348373413,5.355668544769287,1.1616669613593147,0.7329302496623138,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.4068009853363037,0.22444063425064087,0.03,0.06,0.2139987051486969,0.3246651887893677,0.2,1496.2559814453125,675.2916259765625,0.45132091991354956,80.0,15.0,0.2,80.0
Engorged.webp,data\real\images\Engorged.webp,real,500,578,0.49759940886386744,0.4498152685816211,-0.002400591136132557,-0.050184731418378925,0.050242114857335644,0.0024660925099865743,-0.1583973136245793,0.28958475306492404,0.2896138643012459,0.20918212178784332,0.21161918195374738,0.9458930613596451,0.6802335417749131,0.6659439275103038,0.03708009794354439,0.21913957595825195,0.22893241047859192,0.2503460207612457,0.13980276816608997,0.5351200158404079,0.34171547780677153,low_gradient,blank = grad_mag <= P25.0 (thr=0.000842),3670,214,0.058310626702997276,0.0010519031141868512,5.0,0.032,0.0328719723183391,0.8421052627146814,0.984,0.9835640138408305,5.630841255187988,0.48257705569267273,5.300321578979492,0.8816837943718008,0.8816837943711647,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000842),0.0008415579795837402,25.0,0.704633891582489,0.7744964361190796,0.03,0.06,0.08886632323265076,0.06181774288415909,0.2,1065.6680908203125,518.4991455078125,0.48654843845781787,80.0,15.0,0.2,80.0
Expanding_Figure.webp,data\real\images\Expanding_Figure.webp,real,500,632,0.501752053196632,0.47468526357006424,0.0017520531966319641,-0.025314736429935758,0.025375294499196357,0.011618460725165931,-0.08522448767309111,0.2673219582059225,0.2752902411021405,0.22686876690301197,0.2305189669962012,0.9437914762548356,0.7626204747079242,0.7603686337750888,0.031208094209432602,0.13179785013198853,0.13304811716079712,0.3278354430379747,0.30309810126582276,0.5176153018928993,0.4530852505788312,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),2209,257,0.11634223630602082,0.004050632911392405,4.0,0.064,0.06329113924050633,0.7999999998,0.968,0.9683544303797469,5.381322860717773,0.7706441879272461,4.479912281036377,1.2724425009558267,0.8028218335616651,6.0,7,8,low_gradient,blank = grad_mag <= P25.0 (thr=0.000000),0.0,25.0,0.45404955744743347,0.3231477737426758,0.03,0.06,0.18672192096710205,0.24519121646881104,0.2,1982.1395263671875,1084.20458984375,0.546987018530114,80.0,15.0,0.2,80.0
