image,set,path,q1_weight_stability_1to7,q2_symmetry_equilibrium_1to7,q3_negative_space_support_1to7,q4_compositional_placement_1to7,q5_directional_dynamics_1to7,q6_overall_balance_1to7,pull_direction,pull_strength_1to7,notes,rater_id
Mechanics_of_a_Breast_Pump.webp,real,data\real\images\Mechanics_of_a_Breast_Pump.webp,5,4,5,2,3,5,none,1,,simulated_v2_cohesive
Meeting_in_the_middle.webp,real,data\real\images\Meeting_in_the_middle.webp,5,4,3,5,2,4,none,1,,simulated_v2_cohesive
Meeting_Place.webp,real,data\real\images\Meeting_Place.webp,4,3,4,4,5,4,none,1,,simulated_v2_cohesive
middle.webp,real,data\real\images\middle.webp,5,5,3,2,4,2,none,1,,simulated_v2_cohesive
Milk_Fountain.webp,real,data\real\images\Milk_Fountain.webp,5,3,4,4,4,4,none,1,,simulated_v2_cohesive
Milk_Fountain_II.webp,real,data\real\images\Milk_Fountain_II.webp,5,4,3,4,5,4,none,1,,simulated_v2_cohesive
Milk_Spine.webp,real,data\real\images\Milk_Spine.webp,5,6,5,2,3,2,none,1,,simulated_v2_cohesive
Milk_Spout.webp,real,data\real\images\Milk_Spout.webp,5,4,4,2,4,2,none,1,,simulated_v2_cohesive
Mothers_milk.webp,real,data\real\images\Mothers_milk.webp,4,4,7,4,4,4,none,1,,simulated_v2_cohesive
Nipple_Talk.webp,real,data\real\images\Nipple_Talk.webp,4,4,5,2,4,3,none,1,,simulated_v2_cohesive
One_opening_leads_to_another.webp,real,data\real\images\One_opening_leads_to_another.webp,5,5,4,2,3,5,none,1,,simulated_v2_cohesive
Orange_Brain.webp,real,data\real\images\Orange_Brain.webp,5,5,4,4,5,4,none,1,,simulated_v2_cohesive
Overview_Effect.webp,real,data\real\images\Overview_Effect.webp,4,5,6,5,5,4,none,1,,simulated_v2_cohesive
Overview_Effect_blue_red_mandala.webp,real,data\real\images\Overview_Effect_blue_red_mandala.webp,4,6,4,5,4,4,none,1,,simulated_v2_cohesive
Overview_Effect_red_yellow.webp,real,data\real\images\Overview_Effect_red_yellow.webp,5,6,5,3,4,7,none,1,,simulated_v2_cohesive
Perspective_From_Above_and_Below.webp,real,data\real\images\Perspective_From_Above_and_Below.webp,4,6,3,1,1,3,none,1,,simulated_v2_cohesive
Pink_Rainbow_over_Blue_Mounds.webp,real,data\real\images\Pink_Rainbow_over_Blue_Mounds.webp,5,5,4,5,5,3,none,1,,simulated_v2_cohesive
Post_pregnant_belly_and_boobs.webp,real,data\real\images\Post_pregnant_belly_and_boobs.webp,6,4,3,3,4,5,none,1,,simulated_v2_cohesive
Postpartum_belly_void.webp,real,data\real\images\Postpartum_belly_void.webp,4,3,4,3,3,3,none,1,,simulated_v2_cohesive
Postpartum_Plumb_Line.webp,real,data\real\images\Postpartum_Plumb_Line.webp,5,5,3,3,5,4,none,1,,simulated_v2_cohesive
Pregnancy_in_three_acts.webp,real,data\real\images\Pregnancy_in_three_acts.webp,3,6,4,5,3,5,none,1,,simulated_v2_cohesive
Pregnant_Red.webp,real,data\real\images\Pregnant_Red.webp,5,4,4,3,4,4,none,1,,simulated_v2_cohesive
Prenatal_Plumb_Line.webp,real,data\real\images\Prenatal_Plumb_Line.webp,4,4,4,6,4,3,none,1,,simulated_v2_cohesive
Pressure_blue_purple.webp,real,data\real\images\Pressure_blue_purple.webp,4,6,5,6,3,6,none,1,,simulated_v2_cohesive
Push_Out.webp,real,data\real\images\Push_Out.webp,3,2,5,3,5,2,up,4,,simulated_v2_cohesive
ComfyUI_00082_.png,generated,data\generated\ComfyUI_00082_.png,5,5,4,5,5,3,none,1,,simulated_v2_cohesive
ComfyUI_00083_.png,generated,data\generated\ComfyUI_00083_.png,3,3,3,4,4,1,down,4,,simulated_v2_cohesive
ComfyUI_00084_.png,generated,data\generated\ComfyUI_00084_.png,4,5,4,4,2,5,none,1,,simulated_v2_cohesive
ComfyUI_00085_.png,generated,data\generated\ComfyUI_00085_.png,3,3,3,5,5,4,down,4,,simulated_v2_cohesive
ComfyUI_00086_.png,generated,data\generated\ComfyUI_00086_.png,4,4,3,5,5,4,down,3,,simulated_v2_cohesive
ComfyUI_00087_.png,generated,data\generated\ComfyUI_00087_.png,4,6,5,5,4,4,none,1,,simulated_v2_cohesive
ComfyUI_00088_.png,generated,data\generated\ComfyUI_00088_.png,4,6,4,4,6,5,none,1,,simulated_v2_cohesive
ComfyUI_00089_.png,generated,data\generated\ComfyUI_00089_.png,2,3,3,2,5,1,up,4,,simulated_v2_cohesive
ComfyUI_00090_.png,generated,data\generated\ComfyUI_00090_.png,2,3,3,2,4,1,up_left,5,,simulated_v2_cohesive
ComfyUI_00091_.png,generated,data\generated\ComfyUI_00091_.png,3,2,4,4,2,3,up,4,,simulated_v2_cohesive
ComfyUI_00092_.png,generated,data\generated\ComfyUI_00092_.png,5,4,3,3,2,5,none,1,,simulated_v2_cohesive
ComfyUI_00093_.png,generated,data\generated\ComfyUI_00093_.png,4,2,3,3,4,3,up,3,,simulated_v2_cohesive
ComfyUI_00094_.png,generated,data\generated\ComfyUI_00094_.png,5,3,4,5,5,5,none,1,,simulated_v2_cohesive
ComfyUI_00095_.png,generated,data\generated\ComfyUI_00095_.png,5,3,4,3,5,2,none,1,,simulated_v2_cohesive
ComfyUI_00096_.png,generated,data\generated\ComfyUI_00096_.png,5,5,4,4,3,4,none,1,,simulated_v2_cohesive
ComfyUI_00097_.png,generated,data\generated\ComfyUI_00097_.png,5,6,2,4,4,4,none,1,,simulated_v2_cohesive
ComfyUI_00098_.png,generated,data\generated\ComfyUI_00098_.png,3,3,4,4,4,5,down,2,,simulated_v2_cohesive
ComfyUI_00099_.png,generated,data\generated\ComfyUI_00099_.png,2,2,4,4,5,3,up,4,,simulated_v2_cohesive
ComfyUI_00100_.png,generated,data\generated\ComfyUI_00100_.png,3,3,4,5,5,4,down,3,,simulated_v2_cohesive
ComfyUI_00101_.png,generated,data\generated\ComfyUI_00101_.png,3,2,5,5,4,3,up,3,,simulated_v2_cohesive
ComfyUI_00102_.png,generated,data\generated\ComfyUI_00102_.png,5,6,2,1,2,4,none,1,,simulated_v2_cohesive
ComfyUI_00103_.png,generated,data\generated\ComfyUI_00103_.png,5,6,3,5,5,5,none,1,,simulated_v2_cohesive
ComfyUI_00104_.png,generated,data\generated\ComfyUI_00104_.png,4,5,4,4,5,5,none,1,,simulated_v2_cohesive
ComfyUI_00105_.png,generated,data\generated\ComfyUI_00105_.png,3,4,3,3,2,2,up,3,,simulated_v2_cohesive
ComfyUI_00106_.png,generated,data\generated\ComfyUI_00106_.png,5,4,5,5,5,1,none,1,,simulated_v2_cohesive
ComfyUI_00108_.png,generated,data\generated\ComfyUI_00108_.png,4,3,4,6,4,6,right,3,,simulated_v2_cohesive
ComfyUI_00109_.png,generated,data\generated\ComfyUI_00109_.png,1,3,4,6,3,4,up,5,,simulated_v2_cohesive
ComfyUI_00110_.png,generated,data\generated\ComfyUI_00110_.png,3,3,3,5,4,4,down,4,,simulated_v2_cohesive
ComfyUI_00115_.png,generated,data\generated\ComfyUI_00115_.png,4,3,4,4,5,1,up,3,,simulated_v2_cohesive
ComfyUI_00118_.png,generated,data\generated\ComfyUI_00118_.png,4,5,4,4,4,4,none,1,,simulated_v2_cohesive
ComfyUI_00119_.png,generated,data\generated\ComfyUI_00119_.png,3,4,4,3,4,4,none,1,,simulated_v2_cohesive
ComfyUI_00120_.png,generated,data\generated\ComfyUI_00120_.png,3,5,4,3,4,5,up,3,,simulated_v2_cohesive
ComfyUI_00121_.png,generated,data\generated\ComfyUI_00121_.png,4,6,4,4,5,4,none,1,,simulated_v2_cohesive
ComfyUI_00122_.png,generated,data\generated\ComfyUI_00122_.png,4,4,3,4,4,3,up,3,,simulated_v2_cohesive
ComfyUI_00123_.png,generated,data\generated\ComfyUI_00123_.png,4,5,4,4,6,3,none,1,,simulated_v2_cohesive
ComfyUI_00126_.png,generated,data\generated\ComfyUI_00126_.png,3,2,4,5,2,3,up,3,,simulated_v2_cohesive
ComfyUI_00127_.png,generated,data\generated\ComfyUI_00127_.png,6,5,4,4,5,4,none,1,,simulated_v2_cohesive
ComfyUI_00129_.png,generated,data\generated\ComfyUI_00129_.png,2,4,4,4,5,2,up,4,,simulated_v2_cohesive
ComfyUI_00130_.png,generated,data\generated\ComfyUI_00130_.png,5,5,3,4,3,6,none,1,,simulated_v2_cohesive
ComfyUI_00131_.png,generated,data\generated\ComfyUI_00131_.png,4,3,4,3,4,5,none,1,,simulated_v2_cohesive
ComfyUI_00132_.png,generated,data\generated\ComfyUI_00132_.png,4,3,5,3,2,4,none,1,,simulated_v2_cohesive
ComfyUI_00134_.png,generated,data\generated\ComfyUI_00134_.png,4,4,3,3,5,4,none,1,,simulated_v2_cohesive
ComfyUI_00136_.png,generated,data\generated\ComfyUI_00136_.png,4,4,3,4,5,4,up,2,,simulated_v2_cohesive
ComfyUI_00137_.png,generated,data\generated\ComfyUI_00137_.png,4,3,4,3,3,4,up,2,,simulated_v2_cohesive
ComfyUI_00138_.png,generated,data\generated\ComfyUI_00138_.png,1,3,4,3,3,3,up,3,,simulated_v2_cohesive
ComfyUI_00139_.png,generated,data\generated\ComfyUI_00139_.png,5,2,4,3,6,3,none,1,,simulated_v2_cohesive
ComfyUI_00141_.png,generated,data\generated\ComfyUI_00141_.png,3,4,4,5,6,4,up,3,,simulated_v2_cohesive
ComfyUI_00143_.png,generated,data\generated\ComfyUI_00143_.png,4,2,4,5,2,5,none,1,,simulated_v2_cohesive
ComfyUI_00144_.png,generated,data\generated\ComfyUI_00144_.png,4,1,4,4,3,4,none,1,,simulated_v2_cohesive
ComfyUI_00145_.png,generated,data\generated\ComfyUI_00145_.png,5,4,4,4,4,4,none,1,,simulated_v2_cohesive
ComfyUI_00146_.png,generated,data\generated\ComfyUI_00146_.png,5,4,5,6,3,3,none,1,,simulated_v2_cohesive
ComfyUI_00147_.png,generated,data\generated\ComfyUI_00147_.png,3,2,4,7,1,3,up_left,3,,simulated_v2_cohesive
ComfyUI_00149_.png,generated,data\generated\ComfyUI_00149_.png,1,4,2,4,3,4,down,5,,simulated_v2_cohesive
ComfyUI_00150_.png,generated,data\generated\ComfyUI_00150_.png,6,7,5,5,5,3,none,1,,simulated_v2_cohesive
ComfyUI_00151_.png,generated,data\generated\ComfyUI_00151_.png,1,1,3,5,5,4,up,6,,simulated_v2_cohesive
ComfyUI_00152_.png,generated,data\generated\ComfyUI_00152_.png,1,2,4,4,4,4,up,6,,simulated_v2_cohesive
ComfyUI_00153_.png,generated,data\generated\ComfyUI_00153_.png,5,4,4,4,5,4,none,1,,simulated_v2_cohesive
ComfyUI_00154_.png,generated,data\generated\ComfyUI_00154_.png,3,4,3,4,5,4,down,4,,simulated_v2_cohesive
ComfyUI_00155_.png,generated,data\generated\ComfyUI_00155_.png,5,3,3,5,3,5,none,1,,simulated_v2_cohesive
ComfyUI_00156_.png,generated,data\generated\ComfyUI_00156_.png,2,2,3,5,5,4,down,5,,simulated_v2_cohesive
ComfyUI_00158_.png,generated,data\generated\ComfyUI_00158_.png,5,6,3,5,4,5,none,1,,simulated_v2_cohesive
ComfyUI_00159_.png,generated,data\generated\ComfyUI_00159_.png,6,5,4,6,5,4,none,1,,simulated_v2_cohesive
ComfyUI_00160_.png,generated,data\generated\ComfyUI_00160_.png,1,3,4,3,3,3,up,4,,simulated_v2_cohesive
ComfyUI_00161_.png,generated,data\generated\ComfyUI_00161_.png,3,4,4,5,5,4,up,3,,simulated_v2_cohesive
ComfyUI_00163_.png,generated,data\generated\ComfyUI_00163_.png,3,3,3,6,5,3,up,2,,simulated_v2_cohesive
